Dự án,Đường/Phố,Phường/Xã,Quận/Huyện,Phân loại quận,Loại tin,Mã tin,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Loại hình chung cư,Nhóm 1-Trường học,Nhóm 1-Chợ/Siêu thị,Nhóm 1-Bệnh viện,Nhóm 2-Công viên,Nhóm 2-Bể bơi,Nhóm 2-Gym,Slot ô tô,Nhà thoáng,Hiện đại,Bán gấp,Lô góc,Hỗ trợ vay,Tầng
Green Pearl 378 Minh Khai,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,Nội thành,Tin thường,38825591,88.0,Thỏa thuận,,,3.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Chung cư,0,0,0,0,0,0,0,0,0,1,0,0,
Epic Tower,Duy Tân,Dịch Vọng Hậu,Cầu Giấy,Nội thành,Tin thường,35230562,90.0,Thỏa thuận,Bắc,Đông - Nam,3.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư,0,0,0,1,0,0,1,1,1,0,0,1,
Mailand Hanoi City,Đại lộ Thăng Long,An Khánh,Hoài Đức,Ngoại thành,Tin thường,38970822,128.0,Thỏa thuận,,,,,Khác,Khác,Chung cư,0,0,0,0,0,1,1,0,0,0,0,0,
6th Element,,Xuân La,Tây Hồ,Nội thành,Tin thường,39178510,83.0,Thỏa thuận,,,2.0,2.0,Khác,Khác,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Hancom 603 Lạc Long Quân,Lạc Long Quân,Xuân La,Tây Hồ,Nội thành,Tin thường,36360173,145.0,Thỏa thuận,,,3.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Chung cư 622 Minh Khai,,,Hai Bà Trưng,Nội thành,Tin thường,38627037,68.0,Thỏa thuận,,,2.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Chung cư,0,0,0,0,0,0,0,0,1,0,0,0,
The Canopy Residences - Vinhomes Smart City,,Tây Mỗ,Nam Từ Liêm,Nội thành,Tin thường,39167846,67.0,Thỏa thuận,,Đông - Nam,2.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Chung cư,1,0,1,1,1,1,1,1,1,0,1,1,Cao
Vinhomes Ocean Park Gia Lâm,,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,39207130,54.4,Thỏa thuận,,,2.0,1.0,Khác,Khác,Chung cư,0,0,0,0,0,0,0,0,0,1,0,0,
Tòa nhà 197 Trần Phú,Trần Phú,Văn Quán,Hà Đông,Nội thành,Tin thường,39060438,90.0,Thỏa thuận,Tây - Nam,Đông - Nam,2.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư,0,0,0,0,0,0,0,0,0,1,0,0,
Mandarin Garden,,,Cầu Giấy,Nội thành,Tin thường,38757968,145.0,Thỏa thuận,Đông - Bắc,Tây - Nam,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Chung cư,0,0,0,1,1,0,0,1,0,0,1,0,
Vinhomes West Point,Đỗ Đức Dục,Mễ Trì,Nam Từ Liêm,Nội thành,Tin thường,39191477,106.0,Thỏa thuận,,,3.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư,0,0,0,0,1,1,1,0,0,0,0,0,
Sky City Towers-88 Láng Hạ,,,Đống Đa,Nội thành,Tin thường,39171702,172.0,Thỏa thuận,,,3.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư,0,0,0,0,0,0,0,0,0,0,0,1,Trung
Indochina Plaza,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,Nội thành,Tin VIP Vàng,37898346,217.0,Thỏa thuận,,Đông - Nam,4.0,3.0,Khác,Full nội thất,Chung cư,0,1,0,1,1,1,0,0,0,0,0,1,Trung
Mon City - Hải Đăng City,Hàm Nghi,Mỹ Đình 2,Nam Từ Liêm,Nội thành,Tin thường,39175341,61.0,Thỏa thuận,Tây - Nam,Đông - Bắc,2.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
ĐTM Dịch Vọng,Thành Thái,Dịch Vọng,Cầu Giấy,Nội thành,Tin thường,38395782,86.0,Thỏa thuận,,Tây - Nam,2.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Chung cư,0,0,0,1,0,0,0,0,0,0,0,0,
Chung cư mini Đường Giang Văn Minh,Giang Văn Minh,Giảng Võ,Ba Đình,Nội thành,Tin thường,36939602,45.0,Thỏa thuận,,,1.0,1.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư mini,0,0,0,1,0,0,1,0,0,0,0,0,
Hateco Laroma,Huỳnh Thúc Kháng,Láng Thượng,Đống Đa,Nội thành,Tin VIP Bạc,38585187,80.0,Thỏa thuận,Tây,Đông,2.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư,0,0,0,0,0,0,0,0,1,0,0,1,
CTM 299 Cầu Giấy,Cầu Giấy,Dịch Vọng,Cầu Giấy,Nội thành,Tin thường,34846017,96.0,Thỏa thuận,,,2.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư,0,0,0,0,0,0,0,0,1,1,1,0,
Tòa nhà 197 Trần Phú,Trần Phú,Văn Quán,Hà Đông,Nội thành,Tin thường,39205044,72.0,Thỏa thuận,Đông - Nam,Tây - Bắc,2.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Chung cư,0,0,0,0,0,0,0,0,0,1,0,0,
Bình Minh Garden,Đức Giang,Đức Giang,Long Biên,Nội thành,Tin thường,39205906,95.0,Thỏa thuận,,,3.0,2.0,Hợp đồng mua bán,Full nội thất,Chung cư,0,1,0,1,1,1,0,0,0,0,0,0,Trung
Times City,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,Nội thành,Tin thường,34438532,87.0,Thỏa thuận,,Bắc,2.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Chung cư,0,0,0,0,0,0,0,1,0,1,0,0,
Park Kiara,Lê Trọng Tấn,La Khê,Hà Đông,Nội thành,Tin VIP Bạc,38601402,107.0,Thỏa thuận,Tây - Nam,Đông - Bắc,3.0,2.0,Đang chờ sổ,Nội thất cơ bản,Chung cư,0,0,0,0,0,0,1,0,0,0,0,0,Trung
Sunshine City,,Đông Ngạc,Bắc Từ Liêm,Nội thành,Tin thường,38303381,189.0,Thỏa thuận,,,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Chung cư,0,0,0,0,0,0,0,1,0,0,1,0,Cao
Vinhomes Symphony Riverside,,Việt Hưng,Long Biên,Nội thành,Tin thường,33047987,150.0,Thỏa thuận,,Đông - Nam,3.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư,1,1,1,1,1,1,0,1,1,0,0,0,
Hateco Hoàng Mai,,Yên Sở,Hoàng Mai,Nội thành,Tin thường,39053772,110.0,Thỏa thuận,,,3.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư,0,0,0,0,0,0,0,0,1,0,0,0,
Heritage West Lake,Lạc Long Quân,Phú Thượng,Tây Hồ,Nội thành,Tin thường,39025567,267.0,Thỏa thuận,,Đông - Nam,,,Khác,Khác,Chung cư,0,0,0,1,1,1,1,1,1,0,0,0,
Mỹ Đình Pearl,,Phú Đô,Nam Từ Liêm,Nội thành,Tin thường,39177155,104.7,Thỏa thuận,,,3.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư,0,0,0,0,0,0,0,0,0,0,1,0,
The Zenpark,Đông Dư,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,38747814,87.3,Thỏa thuận,,,2.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư,1,0,1,0,0,0,1,1,0,0,1,1,
Việt Hưng,,Đức Giang,Long Biên,Nội thành,Tin thường,39205179,98.0,Thỏa thuận,Tây - Bắc,Đông - Nam,3.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư,1,0,0,0,0,0,0,1,0,0,0,1,Cao
Hapulico Complex,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,Nội thành,Tin thường,39183077,139.0,Thỏa thuận,Đông - Nam,,3.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư,0,0,0,0,0,0,0,0,0,1,0,1,
xpHOMES,Quốc lộ 32,Tân Lập,Đan Phượng,Ngoại thành,Tin thường,39143697,77.0,Thỏa thuận,Đông - Bắc,Tây - Nam,2.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
